Samples	Class	1,2-anhydro-myo-inositol	1-hexadecanol	2-hydroxyglutaric acid	2-isopropylmalic acid	2-ketoisocaproic acid	3,6-anhydrogalactose	3-hydroxy-3-methylglutaric acid	4-hydroxyproline	alanine	alpha ketoglutaric acid	arabinose	arabitol	arachidic acid	asparagine	aspartic acid	behenic acid	benzoic acid	beta alanine	butyl stearate	caffeic acid	cellobiose	cis-caffeic acid	citramalate	citric acid	citrulline	conduritol-beta-epoxide	cysteine	dehydroascorbate	erythritol	fructose	fucose	GABA	galactinol	galactonic acid	galactose	galacturonic acid	glucoheptulose	gluconic acid	glucose	glucuronic acid	glutamic acid	glyceric acid	glycerol	glycerol-3-galactoside NIST	glycerol-alpha-phosphate	glycine	guanine	heptadecanoic acid	homoserine	indole-3-lactate	inositol myo-	inulobiose	isocitric acid	isogalactinol	isoleucine	isothreonic acid	lactic acid	Lauric acid	leucine	lysine	lyxitol	malate	maleic acid	maltose	mannitol	melibiose	methionine	N-acetyl-D-hexosamine	N-acetyl-D-mannosamine	nicotianamine	octadecanol	Oleic acid	ornithine	oxoproline	palmitic acid	pelargonic acid	phenylalanine	pipecolic acid	proline	pseudo uridine	putrescine	quinic acid	ribonic acid	ribose	saccharopine	serine	shikimic acid	sophorose	sorbitol	spermidine	Stearic acid	suberyl glycine	succinic acid	talose	tartaric acid	threitol	threonic acid	threonine	trehalose	tryptophan	tyrosine	uracil	urea	uridine	valine	xanthine	xylitol	xylose
421724	White wine type and source:Chardonnay, Carneros, CA 2003 (CH01)	10631.00	1321.00	69338.00	4304.00	439.00	1795.00	2071.00	16312.00	256068.00	2493.00	42128.00	6585.00	1143.00	6688.00	31065.00	982.00	2713.00	12388.00	3843.00	1025.00	7362.00	755.00	17145.00	87610.00	5853.00	44368.00	916.00	8841.00	94964.00	232562.00	12032.00	202452.00	975.00	1161.00	165461.00	117550.00	2806.00	4628.00	215477.00	2215.00	10617.00	4037.00	840022.00	7916.00	736.00	71971.00	700.00	1849.00	2826.00	737.00	149148.00	823.00	4611.00	1894.00	25968.00	4003.00	1204298.00	9566.00	78214.00	55030.00	4040.00	128658.00	282983.00	2214.00	183236.00	4227.00	5320.00	10442.00	10150.00	439.00	1077.00	303.00	45854.00	162320.00	8538.00	8403.00	20164.00	14393.00	2611314.00	2201.00	15797.00	2226.00	2263.00	5728.00	580.00	30240.00	40160.00	4271.00	86627.00	1766.00	53357.00	1210.00	872121.00	2530.00	353311.00	8107.00	6085.00	19984.00	2156.00	382.00	27347.00	11203.00	2296.00	179.00	44462.00	989.00	1851.00	33896.00
421728	White wine type and source:Chardonnay, Carneros, CA 2003 (CH01)	9158.00	3150.00	67521.00	4100.00	582.00	1988.00	729.00	16115.00	240116.00	1977.00	48592.00	6225.00	1683.00	7667.00	32079.00	1798.00	3188.00	12366.00	2898.00	1100.00	9391.00	710.00	16004.00	86478.00	6666.00	46272.00	1021.00	8879.00	93033.00	248372.00	12509.00	189797.00	1290.00	1619.00	164705.00	122996.00	3127.00	4985.00	212112.00	1365.00	10577.00	3644.00	800864.00	8543.00	792.00	67405.00	752.00	1787.00	2814.00	797.00	183393.00	946.00	4671.00	2386.00	24122.00	4135.00	1131713.00	5390.00	74773.00	52129.00	4403.00	131868.00	273949.00	2293.00	123782.00	5710.00	5931.00	11185.00	10490.00	543.00	962.00	230.00	50504.00	160802.00	8640.00	11287.00	18317.00	12789.00	2813347.00	540.00	17040.00	2161.00	2328.00	5643.00	439.00	28510.00	44062.00	4958.00	82837.00	1838.00	55097.00	905.00	816182.00	2518.00	353337.00	7752.00	6318.00	16270.00	1655.00	560.00	28733.00	5072.00	1930.00	143.00	41716.00	970.00	1852.00	32772.00
421732	White wine type and source:Chardonnay, Carneros, CA 2003 (CH01)	12347.00	875.00	59946.00	3744.00	438.00	1617.00	1575.00	14230.00	259905.00	1925.00	47900.00	6721.00	1191.00	7775.00	26284.00	1333.00	3202.00	10862.00	1266.00	892.00	8418.00	352.00	14809.00	84910.00	4552.00	45320.00	3214.00	8462.00	90579.00	287407.00	11964.00	185307.00	1063.00	2679.00	26999.00	118605.00	2570.00	4347.00	226711.00	2122.00	11723.00	3325.00	576924.00	8331.00	1121.00	68092.00	576.00	1673.00	2337.00	500.00	192184.00	889.00	4311.00	2281.00	23566.00	3591.00	1301183.00	5218.00	76093.00	48182.00	3845.00	129363.00	279758.00	2156.00	160735.00	5314.00	5369.00	11847.00	10281.00	388.00	319.00	132.00	38712.00	141644.00	5200.00	8086.00	17476.00	12052.00	2879867.00	1498.00	15723.00	2269.00	2188.00	5657.00	288.00	25274.00	41156.00	4350.00	95176.00	1796.00	34858.00	859.00	904666.00	2332.00	338063.00	7342.00	5555.00	16857.00	1372.00	360.00	24974.00	6567.00	3435.00	142.00	42632.00	826.00	1902.00	34121.00
421736	White wine type and source:Chardonnay, Carneros, CA 2003 (CH01)	9941.00	3795.00	61457.00	4257.00	568.00	2192.00	2042.00	15688.00	240843.00	2306.00	50095.00	6509.00	1455.00	7924.00	28936.00	1409.00	3200.00	11249.00	3184.00	1454.00	12037.00	568.00	15216.00	90037.00	5434.00	49436.00	3012.00	9603.00	84173.00	267640.00	12546.00	186900.00	1815.00	1403.00	25195.00	123320.00	3662.00	5121.00	216924.00	1199.00	11033.00	3136.00	962652.00	9588.00	1356.00	63917.00	756.00	2116.00	3129.00	696.00	185604.00	1195.00	4770.00	3631.00	23147.00	3480.00	1114496.00	6881.00	73343.00	52378.00	4044.00	126128.00	260908.00	3918.00	140459.00	506.00	5502.00	13264.00	11431.00	617.00	1297.00	368.00	51628.00	151720.00	9737.00	11179.00	16739.00	14211.00	2779480.00	2586.00	16031.00	2258.00	2395.00	5431.00	786.00	28831.00	41234.00	7106.00	93533.00	2120.00	58994.00	1001.00	815645.00	2093.00	338324.00	7127.00	5488.00	18254.00	2233.00	704.00	29153.00	4538.00	2527.00	254.00	41355.00	1021.00	1934.00	31187.00
421740	White wine type and source:Chardonnay, Carneros, CA 2003 (CH01)	11059.00	1606.00	66112.00	4456.00	426.00	1836.00	745.00	15872.00	260934.00	2281.00	42258.00	7809.00	1092.00	7716.00	29015.00	1799.00	2683.00	10995.00	1023.00	1196.00	11219.00	618.00	15004.00	95684.00	5209.00	50110.00	2294.00	9851.00	97394.00	305726.00	12681.00	192158.00	1633.00	1515.00	26292.00	137151.00	3324.00	4797.00	256725.00	2805.00	11587.00	2362.00	334959.00	9639.00	589.00	63283.00	693.00	2271.00	2828.00	678.00	202650.00	738.00	4621.00	3020.00	22477.00	4132.00	1370759.00	5508.00	74807.00	56064.00	4437.00	109649.00	290837.00	2703.00	165850.00	7126.00	5362.00	14017.00	12082.00	556.00	764.00	268.00	54190.00	158770.00	8095.00	8244.00	18990.00	12189.00	2839947.00	2635.00	17548.00	2354.00	2322.00	6063.00	1052.00	23575.00	43601.00	6442.00	97066.00	2068.00	54102.00	948.00	878421.00	2534.00	314246.00	7487.00	6268.00	18741.00	1751.00	419.00	29747.00	4652.00	2257.00	185.00	41284.00	1065.00	2158.00	34102.00
421744	White wine type and source:Chardonnay, Carneros, CA 2003 (CH01)	11585.00	1856.00	67257.00	4635.00	580.00	2294.00	1549.00	15890.00	247404.00	2411.00	54585.00	7774.00	1755.00	8831.00	30670.00	2655.00	2596.00	12023.00	5217.00	1239.00	13937.00	836.00	17235.00	103755.00	5697.00	56952.00	177.00	10292.00	92397.00	259527.00	14146.00	199703.00	1837.00	1630.00	27115.00	134237.00	3907.00	5344.00	268825.00	2840.00	12123.00	2983.00	612612.00	10178.00	1661.00	69327.00	832.00	2361.00	2652.00	725.00	188884.00	787.00	5079.00	3542.00	24888.00	4013.00	1142429.00	21185.00	74548.00	58028.00	4347.00	131937.00	265860.00	3273.00	170919.00	7377.00	5924.00	12074.00	12948.00	518.00	1084.00	389.00	46734.00	163485.00	9175.00	7629.00	20678.00	14101.00	2686552.00	3551.00	17124.00	2448.00	2627.00	6417.00	782.00	31120.00	48129.00	6984.00	90524.00	2244.00	62617.00	1461.00	898714.00	2613.00	366072.00	8251.00	6147.00	18011.00	2377.00	567.00	31295.00	8989.00	2763.00	214.00	43756.00	1027.00	1843.00	33939.00
421749	White wine type and source:Chardonnay, Carneros, CA 2003 (CH02)	10976.00	2347.00	60278.00	3910.00	649.00	1373.00	1941.00	16294.00	331021.00	1355.00	38806.00	7051.00	1248.00	8413.00	39301.00	2303.00	2657.00	12928.00	1160.00	918.00	14514.00	450.00	15150.00	75787.00	7496.00	51011.00	1197.00	8725.00	84572.00	126479.00	13568.00	258944.00	2124.00	1445.00	23886.00	112189.00	3743.00	7712.00	57438.00	2296.00	12951.00	2685.00	685048.00	8909.00	1559.00	92840.00	2169.00	2383.00	2380.00	869.00	202154.00	1295.00	4956.00	3311.00	32488.00	3370.00	1413909.00	15315.00	103886.00	74855.00	4569.00	58754.00	289342.00	3435.00	212233.00	8262.00	7543.00	13811.00	11525.00	532.00	869.00	168.00	83274.00	163176.00	8701.00	6506.00	25178.00	9333.00	2917441.00	2837.00	22853.00	1924.00	2545.00	5830.00	337.00	31306.00	37396.00	7814.00	84450.00	3130.00	43740.00	1082.00	797738.00	2646.00	429009.00	7704.00	4985.00	23015.00	1888.00	114.00	32545.00	7478.00	4779.00	204.00	53665.00	874.00	2348.00	29169.00
421753	White wine type and source:Chardonnay, Carneros, CA 2003 (CH02)	11663.00	2165.00	70875.00	4858.00	600.00	1618.00	2321.00	21089.00	335072.00	1840.00	39679.00	8117.00	1146.00	8792.00	47976.00	1557.00	3883.00	16110.00	781.00	1296.00	8653.00	651.00	18724.00	86889.00	8455.00	50545.00	896.00	9905.00	97783.00	129328.00	13931.00	311885.00	1029.00	1735.00	22978.00	122044.00	3201.00	8107.00	60808.00	2341.00	14465.00	4175.00	852093.00	7577.00	1616.00	107706.00	2128.00	1729.00	3766.00	714.00	160777.00	832.00	5274.00	1820.00	41667.00	3896.00	1246955.00	3358.00	124414.00	80086.00	4988.00	72556.00	296879.00	795.00	214325.00	4043.00	9041.00	13350.00	11069.00	505.00	1048.00	185.00	87681.00	197420.00	8605.00	11404.00	31108.00	13804.00	2688248.00	2963.00	24958.00	1776.00	2880.00	7271.00	473.00	42616.00	41669.00	4004.00	71148.00	2974.00	36739.00	1429.00	809822.00	2310.00	395868.00	9583.00	5951.00	28288.00	1293.00	120.00	39914.00	5532.00	4673.00	493.00	66580.00	1100.00	2382.00	34342.00
421757	White wine type and source:Chardonnay, Carneros, CA 2003 (CH02)	12424.00	2027.00	70915.00	4638.00	503.00	1369.00	2382.00	20867.00	311693.00	1875.00	39018.00	8249.00	1560.00	9997.00	49049.00	1419.00	4080.00	15945.00	1151.00	1002.00	15916.00	593.00	18163.00	89548.00	9348.00	58986.00	1421.00	10030.00	98086.00	138320.00	15290.00	300584.00	2295.00	1935.00	25864.00	133631.00	4528.00	9525.00	64262.00	631.00	15277.00	5434.00	570853.00	10446.00	1259.00	102475.00	2575.00	2204.00	3480.00	1045.00	188115.00	842.00	5953.00	4184.00	36506.00	3783.00	1226849.00	5165.00	118494.00	92660.00	5660.00	69892.00	276424.00	3717.00	221264.00	2348.00	8691.00	15536.00	13789.00	775.00	796.00	122.00	104854.00	165455.00	7277.00	10843.00	32382.00	12928.00	2784782.00	3729.00	25882.00	2137.00	3138.00	6896.00	783.00	34376.00	45251.00	9080.00	76706.00	3818.00	47623.00	1248.00	897985.00	2109.00	456464.00	8662.00	5900.00	24993.00	1792.00	193.00	41435.00	6593.00	3901.00	597.00	60367.00	1408.00	2456.00	34851.00
421761	White wine type and source:Chardonnay, Carneros, CA 2003 (CH02)	13364.00	1964.00	70742.00	4708.00	206.00	1572.00	2271.00	18519.00	312192.00	2031.00	39512.00	8671.00	1581.00	9097.00	47837.00	1676.00	4145.00	16301.00	1125.00	1070.00	15512.00	601.00	18867.00	95085.00	9281.00	58173.00	273.00	10910.00	90326.00	142748.00	15031.00	308254.00	2377.00	1978.00	27353.00	138261.00	4337.00	8902.00	65583.00	10610.00	15339.00	4024.00	555234.00	10344.00	1469.00	108599.00	2509.00	2360.00	3463.00	999.00	190433.00	622.00	5680.00	4288.00	38508.00	3826.00	1218225.00	1374.00	119710.00	91113.00	5039.00	76388.00	283171.00	3924.00	148109.00	2929.00	9340.00	14653.00	13059.00	746.00	794.00	133.00	99375.00	183521.00	6560.00	7789.00	30018.00	12551.00	2816460.00	849.00	26285.00	1662.00	3211.00	6471.00	866.00	40847.00	45625.00	8447.00	74727.00	4255.00	41448.00	1435.00	925511.00	2525.00	451948.00	8949.00	5732.00	28358.00	1896.00	210.00	45560.00	5111.00	3663.00	590.00	61252.00	1385.00	2458.00	32045.00
