sample_id,label,variety,variety_group,"1,2-anhydro-myo-inositol",1-hexadecanol,2-hydroxyglutaric acid,2-isopropylmalic acid,2-ketoisocaproic acid,"3,6-anhydrogalactose",3-hydroxy-3-methylglutaric acid,4-hydroxyproline,alanine,alpha ketoglutaric acid,arabinose,arabitol,arachidic acid,asparagine,aspartic acid,behenic acid,benzoic acid,beta alanine,butyl stearate,caffeic acid,cellobiose,cis-caffeic acid,citramalate,citric acid,citrulline,conduritol-beta-epoxide,cysteine,dehydroascorbate,erythritol,fructose,fucose,GABA,galactinol,galactonic acid,galactose,galacturonic acid,glucoheptulose,gluconic acid,glucose,glucuronic acid,glutamic acid,glyceric acid,glycerol,glycerol-3-galactoside NIST,glycerol-alpha-phosphate,glycine,guanine,heptadecanoic acid,homoserine,indole-3-lactate,inositol myo-,inulobiose,isocitric acid,isogalactinol,isoleucine,isothreonic acid,lactic acid,Lauric acid,leucine,lysine,lyxitol,malate,maleic acid,maltose,mannitol,melibiose,methionine,N-acetyl-D-hexosamine,N-acetyl-D-mannosamine,nicotianamine,octadecanol,Oleic acid,ornithine,oxoproline,palmitic acid,pelargonic acid,phenylalanine,pipecolic acid,proline,pseudo uridine,putrescine,quinic acid,ribonic acid,ribose,saccharopine,serine,shikimic acid,sophorose,sorbitol,spermidine,Stearic acid,suberyl glycine,succinic acid,talose,tartaric acid,threitol,threonic acid,threonine,trehalose,tryptophan,tyrosine,uracil,urea,uridine,valine,xanthine,xylitol,xylose
421724,"Chardonnay, Carneros, CA 2003 (CH01)",Chardonnay,Chardonnay,10631.0,1321.0,69338.0,4304.0,439.0,1795.0,2071.0,16312.0,256068.0,2493.0,42128.0,6585.0,1143.0,6688.0,31065.0,982.0,2713.0,12388.0,3843.0,1025.0,7362.0,755.0,17145.0,87610.0,5853.0,44368.0,916.0,8841.0,94964.0,232562.0,12032.0,202452.0,975.0,1161.0,165461.0,117550.0,2806.0,4628.0,215477.0,2215.0,10617.0,4037.0,840022.0,7916.0,736.0,71971.0,700.0,1849.0,2826.0,737.0,149148.0,823.0,4611.0,1894.0,25968.0,4003.0,1204298.0,9566.0,78214.0,55030.0,4040.0,128658.0,282983.0,2214.0,183236.0,4227.0,5320.0,10442.0,10150.0,439.0,1077.0,303.0,45854.0,162320.0,8538.0,8403.0,20164.0,14393.0,2611314.0,2201.0,15797.0,2226.0,2263.0,5728.0,580.0,30240.0,40160.0,4271.0,86627.0,1766.0,53357.0,1210.0,872121.0,2530.0,353311.0,8107.0,6085.0,19984.0,2156.0,382.0,27347.0,11203.0,2296.0,179.0,44462.0,989.0,1851.0,33896.0
421728,"Chardonnay, Carneros, CA 2003 (CH01)",Chardonnay,Chardonnay,9158.0,3150.0,67521.0,4100.0,582.0,1988.0,729.0,16115.0,240116.0,1977.0,48592.0,6225.0,1683.0,7667.0,32079.0,1798.0,3188.0,12366.0,2898.0,1100.0,9391.0,710.0,16004.0,86478.0,6666.0,46272.0,1021.0,8879.0,93033.0,248372.0,12509.0,189797.0,1290.0,1619.0,164705.0,122996.0,3127.0,4985.0,212112.0,1365.0,10577.0,3644.0,800864.0,8543.0,792.0,67405.0,752.0,1787.0,2814.0,797.0,183393.0,946.0,4671.0,2386.0,24122.0,4135.0,1131713.0,5390.0,74773.0,52129.0,4403.0,131868.0,273949.0,2293.0,123782.0,5710.0,5931.0,11185.0,10490.0,543.0,962.0,230.0,50504.0,160802.0,8640.0,11287.0,18317.0,12789.0,2813347.0,540.0,17040.0,2161.0,2328.0,5643.0,439.0,28510.0,44062.0,4958.0,82837.0,1838.0,55097.0,905.0,816182.0,2518.0,353337.0,7752.0,6318.0,16270.0,1655.0,560.0,28733.0,5072.0,1930.0,143.0,41716.0,970.0,1852.0,32772.0
421732,"Chardonnay, Carneros, CA 2003 (CH01)",Chardonnay,Chardonnay,12347.0,875.0,59946.0,3744.0,438.0,1617.0,1575.0,14230.0,259905.0,1925.0,47900.0,6721.0,1191.0,7775.0,26284.0,1333.0,3202.0,10862.0,1266.0,892.0,8418.0,352.0,14809.0,84910.0,4552.0,45320.0,3214.0,8462.0,90579.0,287407.0,11964.0,185307.0,1063.0,2679.0,26999.0,118605.0,2570.0,4347.0,226711.0,2122.0,11723.0,3325.0,576924.0,8331.0,1121.0,68092.0,576.0,1673.0,2337.0,500.0,192184.0,889.0,4311.0,2281.0,23566.0,3591.0,1301183.0,5218.0,76093.0,48182.0,3845.0,129363.0,279758.0,2156.0,160735.0,5314.0,5369.0,11847.0,10281.0,388.0,319.0,132.0,38712.0,141644.0,5200.0,8086.0,17476.0,12052.0,2879867.0,1498.0,15723.0,2269.0,2188.0,5657.0,288.0,25274.0,41156.0,4350.0,95176.0,1796.0,34858.0,859.0,904666.0,2332.0,338063.0,7342.0,5555.0,16857.0,1372.0,360.0,24974.0,6567.0,3435.0,142.0,42632.0,826.0,1902.0,34121.0
421736,"Chardonnay, Carneros, CA 2003 (CH01)",Chardonnay,Chardonnay,9941.0,3795.0,61457.0,4257.0,568.0,2192.0,2042.0,15688.0,240843.0,2306.0,50095.0,6509.0,1455.0,7924.0,28936.0,1409.0,3200.0,11249.0,3184.0,1454.0,12037.0,568.0,15216.0,90037.0,5434.0,49436.0,3012.0,9603.0,84173.0,267640.0,12546.0,186900.0,1815.0,1403.0,25195.0,123320.0,3662.0,5121.0,216924.0,1199.0,11033.0,3136.0,962652.0,9588.0,1356.0,63917.0,756.0,2116.0,3129.0,696.0,185604.0,1195.0,4770.0,3631.0,23147.0,3480.0,1114496.0,6881.0,73343.0,52378.0,4044.0,126128.0,260908.0,3918.0,140459.0,506.0,5502.0,13264.0,11431.0,617.0,1297.0,368.0,51628.0,151720.0,9737.0,11179.0,16739.0,14211.0,2779480.0,2586.0,16031.0,2258.0,2395.0,5431.0,786.0,28831.0,41234.0,7106.0,93533.0,2120.0,58994.0,1001.0,815645.0,2093.0,338324.0,7127.0,5488.0,18254.0,2233.0,704.0,29153.0,4538.0,2527.0,254.0,41355.0,1021.0,1934.0,31187.0
421740,"Chardonnay, Carneros, CA 2003 (CH01)",Chardonnay,Chardonnay,11059.0,1606.0,66112.0,4456.0,426.0,1836.0,745.0,15872.0,260934.0,2281.0,42258.0,7809.0,1092.0,7716.0,29015.0,1799.0,2683.0,10995.0,1023.0,1196.0,11219.0,618.0,15004.0,95684.0,5209.0,50110.0,2294.0,9851.0,97394.0,305726.0,12681.0,192158.0,1633.0,1515.0,26292.0,137151.0,3324.0,4797.0,256725.0,2805.0,11587.0,2362.0,334959.0,9639.0,589.0,63283.0,693.0,2271.0,2828.0,678.0,202650.0,738.0,4621.0,3020.0,22477.0,4132.0,1370759.0,5508.0,74807.0,56064.0,4437.0,109649.0,290837.0,2703.0,165850.0,7126.0,5362.0,14017.0,12082.0,556.0,764.0,268.0,54190.0,158770.0,8095.0,8244.0,18990.0,12189.0,2839947.0,2635.0,17548.0,2354.0,2322.0,6063.0,1052.0,23575.0,43601.0,6442.0,97066.0,2068.0,54102.0,948.0,878421.0,2534.0,314246.0,7487.0,6268.0,18741.0,1751.0,419.0,29747.0,4652.0,2257.0,185.0,41284.0,1065.0,2158.0,34102.0
421744,"Chardonnay, Carneros, CA 2003 (CH01)",Chardonnay,Chardonnay,11585.0,1856.0,67257.0,4635.0,580.0,2294.0,1549.0,15890.0,247404.0,2411.0,54585.0,7774.0,1755.0,8831.0,30670.0,2655.0,2596.0,12023.0,5217.0,1239.0,13937.0,836.0,17235.0,103755.0,5697.0,56952.0,177.0,10292.0,92397.0,259527.0,14146.0,199703.0,1837.0,1630.0,27115.0,134237.0,3907.0,5344.0,268825.0,2840.0,12123.0,2983.0,612612.0,10178.0,1661.0,69327.0,832.0,2361.0,2652.0,725.0,188884.0,787.0,5079.0,3542.0,24888.0,4013.0,1142429.0,21185.0,74548.0,58028.0,4347.0,131937.0,265860.0,3273.0,170919.0,7377.0,5924.0,12074.0,12948.0,518.0,1084.0,389.0,46734.0,163485.0,9175.0,7629.0,20678.0,14101.0,2686552.0,3551.0,17124.0,2448.0,2627.0,6417.0,782.0,31120.0,48129.0,6984.0,90524.0,2244.0,62617.0,1461.0,898714.0,2613.0,366072.0,8251.0,6147.0,18011.0,2377.0,567.0,31295.0,8989.0,2763.0,214.0,43756.0,1027.0,1843.0,33939.0
421749,"Chardonnay, Carneros, CA 2003 (CH02)",Chardonnay,Chardonnay,10976.0,2347.0,60278.0,3910.0,649.0,1373.0,1941.0,16294.0,331021.0,1355.0,38806.0,7051.0,1248.0,8413.0,39301.0,2303.0,2657.0,12928.0,1160.0,918.0,14514.0,450.0,15150.0,75787.0,7496.0,51011.0,1197.0,8725.0,84572.0,126479.0,13568.0,258944.0,2124.0,1445.0,23886.0,112189.0,3743.0,7712.0,57438.0,2296.0,12951.0,2685.0,685048.0,8909.0,1559.0,92840.0,2169.0,2383.0,2380.0,869.0,202154.0,1295.0,4956.0,3311.0,32488.0,3370.0,1413909.0,15315.0,103886.0,74855.0,4569.0,58754.0,289342.0,3435.0,212233.0,8262.0,7543.0,13811.0,11525.0,532.0,869.0,168.0,83274.0,163176.0,8701.0,6506.0,25178.0,9333.0,2917441.0,2837.0,22853.0,1924.0,2545.0,5830.0,337.0,31306.0,37396.0,7814.0,84450.0,3130.0,43740.0,1082.0,797738.0,2646.0,429009.0,7704.0,4985.0,23015.0,1888.0,114.0,32545.0,7478.0,4779.0,204.0,53665.0,874.0,2348.0,29169.0
421753,"Chardonnay, Carneros, CA 2003 (CH02)",Chardonnay,Chardonnay,11663.0,2165.0,70875.0,4858.0,600.0,1618.0,2321.0,21089.0,335072.0,1840.0,39679.0,8117.0,1146.0,8792.0,47976.0,1557.0,3883.0,16110.0,781.0,1296.0,8653.0,651.0,18724.0,86889.0,8455.0,50545.0,896.0,9905.0,97783.0,129328.0,13931.0,311885.0,1029.0,1735.0,22978.0,122044.0,3201.0,8107.0,60808.0,2341.0,14465.0,4175.0,852093.0,7577.0,1616.0,107706.0,2128.0,1729.0,3766.0,714.0,160777.0,832.0,5274.0,1820.0,41667.0,3896.0,1246955.0,3358.0,124414.0,80086.0,4988.0,72556.0,296879.0,795.0,214325.0,4043.0,9041.0,13350.0,11069.0,505.0,1048.0,185.0,87681.0,197420.0,8605.0,11404.0,31108.0,13804.0,2688248.0,2963.0,24958.0,1776.0,2880.0,7271.0,473.0,42616.0,41669.0,4004.0,71148.0,2974.0,36739.0,1429.0,809822.0,2310.0,395868.0,9583.0,5951.0,28288.0,1293.0,120.0,39914.0,5532.0,4673.0,493.0,66580.0,1100.0,2382.0,34342.0
421757,"Chardonnay, Carneros, CA 2003 (CH02)",Chardonnay,Chardonnay,12424.0,2027.0,70915.0,4638.0,503.0,1369.0,2382.0,20867.0,311693.0,1875.0,39018.0,8249.0,1560.0,9997.0,49049.0,1419.0,4080.0,15945.0,1151.0,1002.0,15916.0,593.0,18163.0,89548.0,9348.0,58986.0,1421.0,10030.0,98086.0,138320.0,15290.0,300584.0,2295.0,1935.0,25864.0,133631.0,4528.0,9525.0,64262.0,631.0,15277.0,5434.0,570853.0,10446.0,1259.0,102475.0,2575.0,2204.0,3480.0,1045.0,188115.0,842.0,5953.0,4184.0,36506.0,3783.0,1226849.0,5165.0,118494.0,92660.0,5660.0,69892.0,276424.0,3717.0,221264.0,2348.0,8691.0,15536.0,13789.0,775.0,796.0,122.0,104854.0,165455.0,7277.0,10843.0,32382.0,12928.0,2784782.0,3729.0,25882.0,2137.0,3138.0,6896.0,783.0,34376.0,45251.0,9080.0,76706.0,3818.0,47623.0,1248.0,897985.0,2109.0,456464.0,8662.0,5900.0,24993.0,1792.0,193.0,41435.0,6593.0,3901.0,597.0,60367.0,1408.0,2456.0,34851.0
421761,"Chardonnay, Carneros, CA 2003 (CH02)",Chardonnay,Chardonnay,13364.0,1964.0,70742.0,4708.0,206.0,1572.0,2271.0,18519.0,312192.0,2031.0,39512.0,8671.0,1581.0,9097.0,47837.0,1676.0,4145.0,16301.0,1125.0,1070.0,15512.0,601.0,18867.0,95085.0,9281.0,58173.0,273.0,10910.0,90326.0,142748.0,15031.0,308254.0,2377.0,1978.0,27353.0,138261.0,4337.0,8902.0,65583.0,10610.0,15339.0,4024.0,555234.0,10344.0,1469.0,108599.0,2509.0,2360.0,3463.0,999.0,190433.0,622.0,5680.0,4288.0,38508.0,3826.0,1218225.0,1374.0,119710.0,91113.0,5039.0,76388.0,283171.0,3924.0,148109.0,2929.0,9340.0,14653.0,13059.0,746.0,794.0,133.0,99375.0,183521.0,6560.0,7789.0,30018.0,12551.0,2816460.0,849.0,26285.0,1662.0,3211.0,6471.0,866.0,40847.0,45625.0,8447.0,74727.0,4255.0,41448.0,1435.0,925511.0,2525.0,451948.0,8949.0,5732.0,28358.0,1896.0,210.0,45560.0,5111.0,3663.0,590.0,61252.0,1385.0,2458.0,32045.0
