sample_id	label	1,2-anhydro-myo-inositol	1-hexadecanol	2-hydroxyglutaric acid	2-isopropylmalic acid	2-ketoisocaproic acid	3,6-anhydrogalactose	3-hydroxy-3-methylglutaric acid	4-hydroxyproline	alanine	alpha ketoglutaric acid	arabinose	arabitol	arachidic acid	asparagine	aspartic acid	behenic acid	benzoic acid	beta alanine	butyl stearate	caffeic acid	cellobiose	cis-caffeic acid	citramalate	citric acid	citrulline	conduritol-beta-epoxide	cysteine	dehydroascorbate	erythritol	fructose	fucose	GABA	galactinol	galactonic acid	galactose	galacturonic acid	glucoheptulose	gluconic acid	glucose	glucuronic acid	glutamic acid	glyceric acid	glycerol	glycerol-3-galactoside NIST	glycerol-alpha-phosphate	glycine	guanine	heptadecanoic acid	homoserine	indole-3-lactate	inositol myo-	inulobiose	isocitric acid	isogalactinol	isoleucine	isothreonic acid	lactic acid	Lauric acid	leucine	lysine	lyxitol	malate	maleic acid	maltose	mannitol	melibiose	methionine	N-acetyl-D-hexosamine	N-acetyl-D-mannosamine	nicotianamine	octadecanol	Oleic acid	ornithine	oxoproline	palmitic acid	pelargonic acid	phenylalanine	pipecolic acid	proline	pseudo uridine	putrescine	quinic acid	ribonic acid	ribose	saccharopine	serine	shikimic acid	sophorose	sorbitol	spermidine	Stearic acid	suberyl glycine	succinic acid	talose	tartaric acid	threitol	threonic acid	threonine	trehalose	tryptophan	tyrosine	uracil	urea	uridine	valine	xanthine	xylitol	xylose	variety	variety_group
string	string	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	discrete
meta	meta																																																																																																													meta	class
421724	Chardonnay, Carneros, CA 2003 (CH01)	10631	1321	69338	4304	439	1795	2071	16312	256068	2493	42128	6585	1143	6688	31065	982	2713	12388	3843	1025	7362	755	17145	87610	5853	44368	916	8841	94964	232562	12032	202452	975	1161	165461	117550	2806	4628	215477	2215	10617	4037	840022	7916	736	71971	700	1849	2826	737	149148	823	4611	1894	25968	4003	1.2043e+06	9566	78214	55030	4040	128658	282983	2214	183236	4227	5320	10442	10150	439	1077	303	45854	162320	8538	8403	20164	14393	2.61131e+06	2201	15797	2226	2263	5728	580	30240	40160	4271	86627	1766	53357	1210	872121	2530	353311	8107	6085	19984	2156	382	27347	11203	2296	179	44462	989	1851	33896	Chardonnay	Chardonnay
421728	Chardonnay, Carneros, CA 2003 (CH01)	9158	3150	67521	4100	582	1988	729	16115	240116	1977	48592	6225	1683	7667	32079	1798	3188	12366	2898	1100	9391	710	16004	86478	6666	46272	1021	8879	93033	248372	12509	189797	1290	1619	164705	122996	3127	4985	212112	1365	10577	3644	800864	8543	792	67405	752	1787	2814	797	183393	946	4671	2386	24122	4135	1.13171e+06	5390	74773	52129	4403	131868	273949	2293	123782	5710	5931	11185	10490	543	962	230	50504	160802	8640	11287	18317	12789	2.81335e+06	540	17040	2161	2328	5643	439	28510	44062	4958	82837	1838	55097	905	816182	2518	353337	7752	6318	16270	1655	560	28733	5072	1930	143	41716	970	1852	32772	Chardonnay	Chardonnay
421732	Chardonnay, Carneros, CA 2003 (CH01)	12347	875	59946	3744	438	1617	1575	14230	259905	1925	47900	6721	1191	7775	26284	1333	3202	10862	1266	892	8418	352	14809	84910	4552	45320	3214	8462	90579	287407	11964	185307	1063	2679	26999	118605	2570	4347	226711	2122	11723	3325	576924	8331	1121	68092	576	1673	2337	500	192184	889	4311	2281	23566	3591	1.30118e+06	5218	76093	48182	3845	129363	279758	2156	160735	5314	5369	11847	10281	388	319	132	38712	141644	5200	8086	17476	12052	2.87987e+06	1498	15723	2269	2188	5657	288	25274	41156	4350	95176	1796	34858	859	904666	2332	338063	7342	5555	16857	1372	360	24974	6567	3435	142	42632	826	1902	34121	Chardonnay	Chardonnay
421736	Chardonnay, Carneros, CA 2003 (CH01)	9941	3795	61457	4257	568	2192	2042	15688	240843	2306	50095	6509	1455	7924	28936	1409	3200	11249	3184	1454	12037	568	15216	90037	5434	49436	3012	9603	84173	267640	12546	186900	1815	1403	25195	123320	3662	5121	216924	1199	11033	3136	962652	9588	1356	63917	756	2116	3129	696	185604	1195	4770	3631	23147	3480	1.1145e+06	6881	73343	52378	4044	126128	260908	3918	140459	506	5502	13264	11431	617	1297	368	51628	151720	9737	11179	16739	14211	2.77948e+06	2586	16031	2258	2395	5431	786	28831	41234	7106	93533	2120	58994	1001	815645	2093	338324	7127	5488	18254	2233	704	29153	4538	2527	254	41355	1021	1934	31187	Chardonnay	Chardonnay
421740	Chardonnay, Carneros, CA 2003 (CH01)	11059	1606	66112	4456	426	1836	745	15872	260934	2281	42258	7809	1092	7716	29015	1799	2683	10995	1023	1196	11219	618	15004	95684	5209	50110	2294	9851	97394	305726	12681	192158	1633	1515	26292	137151	3324	4797	256725	2805	11587	2362	334959	9639	589	63283	693	2271	2828	678	202650	738	4621	3020	22477	4132	1.37076e+06	5508	74807	56064	4437	109649	290837	2703	165850	7126	5362	14017	12082	556	764	268	54190	158770	8095	8244	18990	12189	2.83995e+06	2635	17548	2354	2322	6063	1052	23575	43601	6442	97066	2068	54102	948	878421	2534	314246	7487	6268	18741	1751	419	29747	4652	2257	185	41284	1065	2158	34102	Chardonnay	Chardonnay
421744	Chardonnay, Carneros, CA 2003 (CH01)	11585	1856	67257	4635	580	2294	1549	15890	247404	2411	54585	7774	1755	8831	30670	2655	2596	12023	5217	1239	13937	836	17235	103755	5697	56952	177	10292	92397	259527	14146	199703	1837	1630	27115	134237	3907	5344	268825	2840	12123	2983	612612	10178	1661	69327	832	2361	2652	725	188884	787	5079	3542	24888	4013	1.14243e+06	21185	74548	58028	4347	131937	265860	3273	170919	7377	5924	12074	12948	518	1084	389	46734	163485	9175	7629	20678	14101	2.68655e+06	3551	17124	2448	2627	6417	782	31120	48129	6984	90524	2244	62617	1461	898714	2613	366072	8251	6147	18011	2377	567	31295	8989	2763	214	43756	1027	1843	33939	Chardonnay	Chardonnay
421749	Chardonnay, Carneros, CA 2003 (CH02)	10976	2347	60278	3910	649	1373	1941	16294	331021	1355	38806	7051	1248	8413	39301	2303	2657	12928	1160	918	14514	450	15150	75787	7496	51011	1197	8725	84572	126479	13568	258944	2124	1445	23886	112189	3743	7712	57438	2296	12951	2685	685048	8909	1559	92840	2169	2383	2380	869	202154	1295	4956	3311	32488	3370	1.41391e+06	15315	103886	74855	4569	58754	289342	3435	212233	8262	7543	13811	11525	532	869	168	83274	163176	8701	6506	25178	9333	2.91744e+06	2837	22853	1924	2545	5830	337	31306	37396	7814	84450	3130	43740	1082	797738	2646	429009	7704	4985	23015	1888	114	32545	7478	4779	204	53665	874	2348	29169	Chardonnay	Chardonnay
421753	Chardonnay, Carneros, CA 2003 (CH02)	11663	2165	70875	4858	600	1618	2321	21089	335072	1840	39679	8117	1146	8792	47976	1557	3883	16110	781	1296	8653	651	18724	86889	8455	50545	896	9905	97783	129328	13931	311885	1029	1735	22978	122044	3201	8107	60808	2341	14465	4175	852093	7577	1616	107706	2128	1729	3766	714	160777	832	5274	1820	41667	3896	1.24696e+06	3358	124414	80086	4988	72556	296879	795	214325	4043	9041	13350	11069	505	1048	185	87681	197420	8605	11404	31108	13804	2.68825e+06	2963	24958	1776	2880	7271	473	42616	41669	4004	71148	2974	36739	1429	809822	2310	395868	9583	5951	28288	1293	120	39914	5532	4673	493	66580	1100	2382	34342	Chardonnay	Chardonnay
421757	Chardonnay, Carneros, CA 2003 (CH02)	12424	2027	70915	4638	503	1369	2382	20867	311693	1875	39018	8249	1560	9997	49049	1419	4080	15945	1151	1002	15916	593	18163	89548	9348	58986	1421	10030	98086	138320	15290	300584	2295	1935	25864	133631	4528	9525	64262	631	15277	5434	570853	10446	1259	102475	2575	2204	3480	1045	188115	842	5953	4184	36506	3783	1.22685e+06	5165	118494	92660	5660	69892	276424	3717	221264	2348	8691	15536	13789	775	796	122	104854	165455	7277	10843	32382	12928	2.78478e+06	3729	25882	2137	3138	6896	783	34376	45251	9080	76706	3818	47623	1248	897985	2109	456464	8662	5900	24993	1792	193	41435	6593	3901	597	60367	1408	2456	34851	Chardonnay	Chardonnay
